time,v(1),i(V1),v(X0.q)
3.0028000e-02,3.7510825e-01,-1.1618418e-06,3.6770597e-08
3.0128000e-02,3.7634251e-01,-1.1612327e-06,3.6886751e-08
3.0228000e-02,3.7757663e-01,-1.1606241e-06,3.7002844e-08
3.0328000e-02,3.7881059e-01,-1.1600116e-06,3.7118876e-08
3.0428000e-02,3.8004441e-01,-1.1593997e-06,3.7234846e-08
3.0528000e-02,3.8127807e-01,-1.1587837e-06,3.7350756e-08
3.0628000e-02,3.8251159e-01,-1.1581684e-06,3.7466603e-08
3.0728000e-02,3.8374495e-01,-1.1575491e-06,3.7582389e-08
3.0828000e-02,3.8497817e-01,-1.1569304e-06,3.7698113e-08
3.0928000e-02,3.8621123e-01,-1.1563077e-06,3.7813775e-08
3.1028000e-02,3.8744414e-01,-1.1556856e-06,3.7929375e-08
3.1128000e-02,3.8867689e-01,-1.1550596e-06,3.8044912e-08
3.1228000e-02,3.8990949e-01,-1.1544342e-06,3.8160386e-08
3.1328000e-02,3.9114194e-01,-1.1538047e-06,3.8275798e-08
3.1428000e-02,3.9237423e-01,-1.1531760e-06,3.8391147e-08
3.1528000e-02,3.9360637e-01,-1.1525432e-06,3.8506433e-08
3.1628000e-02,3.9483836e-01,-1.1519111e-06,3.8621656e-08
3.1728000e-02,3.9607018e-01,-1.1512751e-06,3.8736815e-08
3.1828000e-02,3.9730185e-01,-1.1506396e-06,3.8851911e-08
3.1928000e-02,3.9853337e-01,-1.1500003e-06,3.8966943e-08
3.2028000e-02,3.9976473e-01,-1.1493615e-06,3.9081911e-08
3.2128000e-02,4.0099592e-01,-1.1487188e-06,3.9196815e-08
3.2228000e-02,4.0222696e-01,-1.1480768e-06,3.9311655e-08
3.2328000e-02,4.0345785e-01,-1.1474308e-06,3.9426430e-08
3.2428000e-02,4.0468857e-01,-1.1467855e-06,3.9541141e-08
3.2528000e-02,4.0591913e-01,-1.1461363e-06,3.9655787e-08
3.2628000e-02,4.0714953e-01,-1.1454877e-06,3.9770369e-08
3.2728000e-02,4.0837978e-01,-1.1448352e-06,3.9884885e-08
3.2828000e-02,4.0960986e-01,-1.1441833e-06,3.9999336e-08
3.2928000e-02,4.1083978e-01,-1.1435276e-06,4.0113721e-08
3.3028000e-02,4.1206953e-01,-1.1428725e-06,4.0228041e-08
3.3128000e-02,4.1329913e-01,-1.1422135e-06,4.0342295e-08
3.3228000e-02,4.1452856e-01,-1.1415552e-06,4.0456484e-08
3.3328000e-02,4.1575783e-01,-1.1408929e-06,4.0570606e-08
3.3428000e-02,4.1698693e-01,-1.1402314e-06,4.0684663e-08
3.3528000e-02,4.1821587e-01,-1.1395659e-06,4.0798652e-08
3.3628000e-02,4.1944464e-01,-1.1389012e-06,4.0912576e-08
3.3728000e-02,4.2067325e-01,-1.1382325e-06,4.1026432e-08
3.3828000e-02,4.2190169e-01,-1.1375646e-06,4.1140222e-08
3.3928000e-02,4.2312997e-01,-1.1368927e-06,4.1253945e-08
3.4028000e-02,4.2435807e-01,-1.1362216e-06,4.1367601e-08
3.4128000e-02,4.2558601e-01,-1.1355465e-06,4.1481189e-08
3.4228000e-02,4.2681379e-01,-1.1348722e-06,4.1594710e-08
3.4328000e-02,4.2804139e-01,-1.1341940e-06,4.1708164e-08
3.4428000e-02,4.2926883e-01,-1.1335166e-06,4.1821549e-08
3.4528000e-02,4.3049609e-01,-1.1328352e-06,4.1934867e-08
3.4628000e-02,4.3172319e-01,-1.1321546e-06,4.2048116e-08
3.4728000e-02,4.3295011e-01,-1.1314701e-06,4.2161297e-08
3.4828000e-02,4.3417687e-01,-1.1307864e-06,4.2274410e-08
3.4928000e-02,4.3540345e-01,-1.1300988e-06,4.2387454e-08
3.5028000e-02,4.3662986e-01,-1.1294119e-06,4.2500430e-08
3.5128000e-02,4.3785610e-01,-1.1287212e-06,4.2613337e-08
3.5228000e-02,4.3908216e-01,-1.1280312e-06,4.2726174e-08
3.5328000e-02,4.4030806e-01,-1.1273374e-06,4.2838943e-08
3.5428000e-02,4.4153378e-01,-1.1266443e-06,4.2951642e-08
3.5528000e-02,4.4275932e-01,-1.1259474e-06,4.3064271e-08
3.5628000e-02,4.4398469e-01,-1.1252513e-06,4.3176831e-08
3.5728000e-02,4.4520988e-01,-1.1245513e-06,4.3289321e-08
3.5828000e-02,4.4643490e-01,-1.1238520e-06,4.3401742e-08
3.5928000e-02,4.4765974e-01,-1.1231490e-06,4.3514092e-08
3.6028000e-02,4.4888441e-01,-1.1224467e-06,4.3626371e-08
3.6128000e-02,4.5010890e-01,-1.1217406e-06,4.3738581e-08
3.6228000e-02,4.5133321e-01,-1.1210353e-06,4.3850720e-08
3.6328000e-02,4.5255734e-01,-1.1203261e-06,4.3962788e-08
3.6428000e-02,4.5378130e-01,-1.1196178e-06,4.4074785e-08
3.6528000e-02,4.5500507e-01,-1.1189056e-06,4.4186711e-08
3.6628000e-02,4.5622867e-01,-1.1181943e-06,4.4298566e-08
3.6728000e-02,4.5745208e-01,-1.1174791e-06,4.4410350e-08
